Prognose_Differenziert,Untere_KI_Differenziert,Obere_KI_Differenziert,Datum,Absolute_Prognose,Absolute_Untere_KI,Absolute_Obere_KI
-0.6835902024983662,-6.496084631071219,5.128904226074487,2013-09-01,10.116409797501635,4.303915368928782,15.928904226074486
1.7738776972496115,-4.1315989379536155,7.679354332452839,2013-10-01,2.7538776972496115,-3.1515989379536156,8.659354332452839
-0.7499588468852978,-6.6562518186562105,5.156334124885614,2013-11-01,-8.739958846885298,-14.64625181865621,-2.833665875114386
3.2886659649451992,-2.6176217143251117,9.19495364421551,2013-12-01,-19.7013340350548,-25.60762171432511,-13.79504635578449
-1.9031222132748704,-7.809245752979208,4.003001326429467,2014-01-01,-21.82312221327487,-27.72924575297921,-15.916998673570536
-3.5520342812754837,-9.45815782098276,2.3540892584317934,2014-02-01,-21.20203428127548,-27.10815782098276,-15.295910741568205
-1.4592373647336325,-7.3653609041283365,4.4468861746610715,2014-03-01,-7.349237364733632,-13.255360904128336,-1.4431138253389282
-0.1073275862629002,-6.013451115663328,5.798795943137527,2014-04-01,3.6026724137371,-2.3034511156633277,9.508795943137528
0.610104526958017,-5.296019002129853,6.516228056045886,2014-05-01,9.310104526958016,3.4039809978701463,15.216228056045885
2.219567859123366,-3.6865556699618267,8.125691388208558,2014-06-01,17.119567859123364,11.213444330038174,23.025691388208557
