Prognose_Differenziert,Untere_KI_Differenziert,Obere_KI_Differenziert,Datum,Absolute_Prognose,Absolute_Untere_KI,Absolute_Obere_KI
-0.49399388235534336,-1.5138340027766555,0.5258462380659688,2013-09-01,26.976006117644655,25.956165997223344,27.99584623806597
0.4290827639047108,-0.7769165082719209,1.6350820360813425,2013-10-01,26.905088881549368,25.699089609372738,28.111088153726
-0.36811812894998974,-1.5795876003265898,0.8433513424266104,2013-11-01,26.762976870244028,25.55150739886743,27.97444634162063
-0.07384663626885601,-1.2910670359003347,1.1433737633626224,2013-12-01,26.61821299787988,25.400992598248404,27.83543339751136
0.59576669834229,-0.6227772679184329,1.814310664603013,2014-01-01,27.071867684916832,25.85332371865611,28.290411651177557
-0.4027514546273001,-1.6217644097258137,0.8162615004712135,2014-02-01,26.524352357925384,25.30533940282687,27.743365313023897
-0.04203570423621028,-1.26119933205313,1.1771279235807095,2014-03-01,26.93597134072613,25.71680771290921,28.15513496854305
-0.1639844399836796,-1.3831978009064159,1.0552289209390566,2014-04-01,26.224471573751003,25.005258212828267,27.44368493467374
0.14435959241096052,-1.0748696716544077,1.3635888564763285,2014-05-01,26.780450148962707,25.561220884897338,27.999679413028076
-0.17705000942146365,-1.3962843248334815,1.042184305990554,2014-06-01,25.891900372566116,24.6726660571541,27.111134687978133
