Prognose_Differenziert,Unteres_PI_Differenziert,Oberes_PI_Differenziert,Datum,Absolute_Prognose,Absolutes_Unteres_PI,Absolutes_Oberes_PI
-1.4104634556601248,-6.342201117412134,3.521274206091885,2013-09-01,9.387536544339875,4.455798882587866,14.319274206091885
0.33461990518940726,-4.68631437828172,5.355554188660534,2013-10-01,1.3126199051894072,-3.7083143782817203,6.333554188660534
-0.2060035526187072,-5.229289835178932,4.8172827299415175,2013-11-01,-8.192003552618708,-13.215289835178933,-3.1687172700584822
6.164352226587151,1.1397561290276608,11.18894832414664,2013-12-01,-16.82464777341285,-21.84924387097234,-11.80005167585336
-0.14191569708755347,-5.166658257902455,4.882826863727347,2014-01-01,-20.065915697087554,-25.090658257902454,-15.041173136272652
0.4279699550342108,-4.596781651593943,5.452721561662365,2014-02-01,-17.21803004496579,-22.242781651593944,-12.193278438337636
-1.6394817151615129,-6.664234698335572,3.385271268012546,2014-03-01,-7.528481715161513,-12.553234698335572,-2.5037287319874544
-1.020169183309637,-6.044922255076065,4.004583888456791,2014-04-01,2.692830816690363,-2.3319222550760648,7.717583888456791
1.633896391599237,-3.390856693814363,6.658649477012837,2014-05-01,10.334896391599237,5.310143306185637,15.359649477012837
1.5037190733497536,-3.521034013927118,6.528472160626626,2014-06-01,16.407719073349753,11.382965986072882,21.432472160626624
