Prognose_Differenziert,Unteres_PI_Differenziert,Oberes_PI_Differenziert,Datum,Absolute_Prognose,Absolutes_Unteres_PI,Absolutes_Oberes_PI
0.41937704643035045,-4.067716408563459,4.90647050142416,2013-09-01,13.13337704643035,8.646283591436541,17.62047050142416
0.1775698097190665,-4.352808372389125,4.7079479918272575,2013-10-01,8.204569809719066,3.674191627610874,12.734947991827257
-0.6982881827854224,-5.252267979715491,3.8556916141446465,2013-11-01,3.636711817214578,-0.9172679797154908,8.190691614144647
0.6838678614528375,-3.8704857090957034,5.238221432001378,2013-12-01,0.8778678614528375,-3.6764857090957035,5.432221432001378
-0.19549243354399837,-4.751998649686619,4.361013782598621,2014-01-01,-0.9924924335439984,-5.548998649686618,3.564013782598621
-0.4019393537005318,-4.966691186696335,4.162812479295272,2014-02-01,-3.246939353700532,-7.8116911866963346,1.3178124792952715
0.6835520048731472,-3.885568647239168,5.252672656985462,2014-03-01,1.6155520048731473,-2.9535686472391682,6.184672656985462
-0.4709168204685798,-5.040044884071806,4.098211243134646,2014-04-01,6.62908317953142,2.0599551159281937,11.198211243134645
-0.058665246325903087,-4.6321152343764815,4.514784741724675,2014-05-01,9.341334753674097,4.767884765623519,13.914784741724675
0.5165203671992585,-4.0631815383811825,5.096222272779699,2014-06-01,14.96052036719926,10.38081846161882,19.5402222727797
