Datum,MonatlicheDurchschnittsTemperatur
1881-01-01,0.5110000000000001
1881-02-01,0.788
1881-03-01,-0.8479999999999999
1881-04-01,-1.346
1881-05-01,0.31400000000000006
1881-06-01,0.9390000000000001
1881-07-01,1.3919999999999995
1881-08-01,1.138
1881-09-01,-2.139000000000001
1881-10-01,-3.6719999999999997
1881-11-01,0.8970000000000002
1881-12-01,-3.986
1882-01-01,3.612
1882-02-01,-0.575
1882-03-01,1.0430000000000001
1882-04-01,0.6749999999999998
1882-05-01,0.9239999999999995
1882-06-01,-0.6379999999999999
1882-07-01,-3.9769999999999985
1882-08-01,-2.0199999999999996
1882-09-01,0.008000000000000895
1882-10-01,4.099
1882-11-01,-1.1230000000000002
1882-12-01,0.777
1883-01-01,0.22899999999999987
1883-02-01,1.851
1883-03-01,-5.974
1883-04-01,-0.7549999999999999
1883-05-01,0.10800000000000054
1883-06-01,0.6669999999999998
1883-07-01,0.16799999999999926
1883-08-01,0.9830000000000005
1883-09-01,0.9599999999999991
1883-10-01,-1.3819999999999997
1883-11-01,-0.22299999999999986
1883-12-01,-1.2069999999999999
1884-01-01,1.8110000000000002
1884-02-01,-0.39600000000000013
1884-03-01,4.974
1884-04-01,-0.16999999999999993
1884-05-01,0.5709999999999997
1884-06-01,-2.6530000000000005
1884-07-01,2.048
1884-08-01,1.0589999999999993
1884-09-01,0.577
1884-10-01,-0.15200000000000014
1884-11-01,-2.166
1884-12-01,0.994
1885-01-01,-5.136
1885-02-01,1.11
1885-03-01,-1.7149999999999999
1885-04-01,1.859
1885-05-01,-3.3149999999999995
1885-06-01,4.424000000000001
1885-07-01,-0.2010000000000005
1885-08-01,-1.237
1885-09-01,-0.6829999999999998
1885-10-01,-0.6619999999999999
1885-11-01,2.312
1885-12-01,-1.35
1886-01-01,1.963
1886-02-01,-5.095000000000001
1886-03-01,-1.238
1886-04-01,0.26200000000000045
1886-05-01,2.5169999999999995
1886-06-01,-3.2620000000000005
1886-07-01,-0.5749999999999993
1886-08-01,0.7850000000000001
1886-09-01,2.604000000000001
1886-10-01,2.709999999999999
1886-11-01,0.30200000000000005
1886-12-01,1.0070000000000001
1887-01-01,-2.035
1887-02-01,0.27200000000000024
1887-03-01,-0.739
1887-04-01,-1.7810000000000006
1887-05-01,-2.7509999999999994
1887-06-01,2.5589999999999993
1887-07-01,1.7630000000000017
1887-08-01,-0.4039999999999999
1887-09-01,-3.292
1887-10-01,-4.805
1887-11-01,-1.972
1887-12-01,-2.0540000000000003
1888-01-01,0.9400000000000004
1888-02-01,-0.08700000000000019
1888-03-01,1.012
1888-04-01,-1.1680000000000001
1888-05-01,3.376999999999999
1888-06-01,-0.4580000000000002
1888-07-01,-4.138000000000002
1888-08-01,-0.9220000000000006
1888-09-01,1.3539999999999992
1888-10-01,1.0550000000000002
1888-11-01,1.548
1888-12-01,1.0860000000000003
1889-01-01,0.532
1889-02-01,-0.36099999999999977
1889-03-01,-1.3479999999999999
1889-04-01,0.6380000000000008
1889-05-01,1.0150000000000006
1889-06-01,1.0709999999999997
1889-07-01,1.6579999999999995
1889-08-01,0.3260000000000005
1889-09-01,-1.7479999999999993
1889-10-01,1.8629999999999995
1889-11-01,-0.9100000000000001
1889-12-01,-1.7030000000000003
1890-01-01,3.473
1890-02-01,-0.45199999999999996
1890-03-01,2.628
1890-04-01,0.46799999999999997
1890-05-01,-0.8719999999999999
1890-06-01,-2.5189999999999984
1890-07-01,-1.068999999999999
1890-08-01,0.5530000000000008
1890-09-01,0.8339999999999996
1890-10-01,-1.154
1890-11-01,-0.21599999999999997
1890-12-01,-2.542
1891-01-01,-6.618
1891-02-01,0.8339999999999996
1891-03-01,-0.516
1891-04-01,-1.4580000000000002
1891-05-01,-1.1750000000000007
1891-06-01,0.8439999999999994
1891-07-01,0.6180000000000003
1891-08-01,-0.9450000000000003
1891-09-01,1.3849999999999998
1891-10-01,2.9880000000000004
1891-11-01,-0.19300000000000006
1891-12-01,5.779
1892-01-01,3.8800000000000003
1892-02-01,2.8400000000000003
1892-03-01,-1.922
1892-04-01,2.349
1892-05-01,0.5300000000000011
1892-06-01,0.43599999999999994
1892-07-01,0.5419999999999998
1892-08-01,2.705
1892-09-01,0.19899999999999984
1892-10-01,-1.8650000000000002
1892-11-01,2.484
1892-12-01,-2.7969999999999997
1893-01-01,-4.664999999999999
1893-02-01,0.654
1893-03-01,4.01
1893-04-01,2.661999999999999
1893-05-01,-0.41600000000000037
1893-06-01,-0.06300000000000061
1893-07-01,0.46199999999999974
1893-08-01,-0.3539999999999992
1893-09-01,-0.5939999999999994
1893-10-01,2.1359999999999992
1893-11-01,-2.399
1893-12-01,1.3939999999999997
1894-01-01,4.003
1894-02-01,-0.604
1894-03-01,-0.40100000000000025
1894-04-01,-0.6189999999999998
1894-05-01,-0.7580000000000009
1894-06-01,-0.8490000000000002
1894-07-01,0.6279999999999983
1894-08-01,-1.413000000000002
1894-09-01,-1.593
1894-10-01,-1.4139999999999997
1894-11-01,1.9280000000000002
1894-12-01,-0.19499999999999984
1895-01-01,-2.794
1895-02-01,-7.744
1895-03-01,-2.7619999999999996
1895-04-01,-1.282
1895-05-01,0.3990000000000009
1895-06-01,0.5180000000000007
1895-07-01,-0.053999999999998494
1895-08-01,0.25900000000000034
1895-09-01,4.536999999999999
1895-10-01,-0.8119999999999994
1895-11-01,1.3040000000000003
1895-12-01,1.408
1896-01-01,3.428
1896-02-01,5.818
1896-03-01,4.071000000000001
1896-04-01,-2.9829999999999997
1896-05-01,-1.149000000000001
