Datum,MonatlicheDurchschnittsTemperatur
1881-01-01,-3.972
1881-02-01,-1.0150000000000001
1881-03-01,-1.384
1881-04-01,-4.118999999999999
1881-05-01,1.1690000000000005
1881-06-01,-0.5990000000000002
1881-07-01,0.3539999999999992
1881-08-01,-1.2029999999999994
1881-09-01,-2.370000000000001
1881-10-01,-2.234
1881-11-01,1.4539999999999997
1881-12-01,-2.112
1882-01-01,6.971
1882-02-01,3.015
1882-03-01,4.7780000000000005
1882-04-01,2.8709999999999996
1882-05-01,-0.5399999999999991
1882-06-01,-0.775999999999998
1882-07-01,-0.7210000000000001
1882-08-01,-0.49900000000000233
1882-09-01,2.2219999999999995
1882-10-01,3.325
1882-11-01,-1.6349999999999998
1882-12-01,-0.593
1883-01-01,-1.755
1883-02-01,-0.3320000000000003
1883-03-01,-8.384
1883-04-01,-2.5199999999999996
1883-05-01,0.40499999999999936
1883-06-01,2.0589999999999993
1883-07-01,-0.3520000000000003
1883-08-01,0.657
1883-09-01,-0.5279999999999987
1883-10-01,0.41799999999999926
1883-11-01,0.7290000000000001
1883-12-01,0.6799999999999999
1884-01-01,3.9130000000000003
1884-02-01,1.2390000000000003
1884-03-01,6.257000000000001
1884-04-01,0.18799999999999972
1884-05-01,0.35999999999999943
1884-06-01,-2.9909999999999997
1884-07-01,0.7040000000000006
1884-08-01,0.5070000000000014
1884-09-01,0.7139999999999986
1884-10-01,-0.9359999999999999
1884-11-01,-3.0740000000000007
1884-12-01,1.011
1885-01-01,-5.795
1885-02-01,-0.5220000000000002
1885-03-01,-1.7190000000000003
1885-04-01,3.9330000000000007
1885-05-01,-2.0039999999999996
1885-06-01,3.436
1885-07-01,-0.6550000000000011
1885-08-01,-2.154
1885-09-01,-1.6579999999999995
1885-10-01,-0.23599999999999888
1885-11-01,0.716
1885-12-01,-2.135
1886-01-01,1.275
1886-02-01,-5.711
1886-03-01,-2.944
1886-04-01,-0.6310000000000002
1886-05-01,2.144
1886-06-01,-2.1400000000000006
1886-07-01,-0.8679999999999986
1886-08-01,2.6419999999999995
1886-09-01,2.0359999999999996
1886-10-01,1.186
1886-11-01,3.0440000000000005
1886-12-01,1.0030000000000001
1887-01-01,-1.915
1887-02-01,2.504
1887-03-01,1.7460000000000002
1887-04-01,-1.4280000000000008
1887-05-01,-2.106
1887-06-01,0.16900000000000048
1887-07-01,2.065999999999999
1887-08-01,-1.1479999999999997
1887-09-01,-1.8539999999999992
1887-10-01,-2.838000000000001
1887-11-01,-1.468
1887-12-01,-1.1360000000000001
1888-01-01,1.615
1888-02-01,-2.3280000000000003
1888-03-01,-1.5990000000000002
1888-04-01,-1.3789999999999996
1888-05-01,1.6910000000000007
1888-06-01,0.8610000000000007
1888-07-01,-3.4430000000000014
1888-08-01,-0.3550000000000004
1888-09-01,-0.16799999999999926
1888-10-01,0.8590000000000009
1888-11-01,-0.8090000000000006
1888-12-01,1.134
1889-01-01,-1.281
1889-02-01,0.6110000000000002
1889-03-01,0.29300000000000004
1889-04-01,1.338
1889-05-01,4.506999999999998
1889-06-01,3.620000000000001
1889-07-01,1.4720000000000013
1889-08-01,0.29299999999999926
1889-09-01,-1.718
1889-10-01,1.5189999999999992
1889-11-01,0.18500000000000005
1889-12-01,-2.012
1890-01-01,4.899
1890-02-01,-0.129
1890-03-01,4.614000000000001
1890-04-01,0.20399999999999974
1890-05-01,-2.619999999999999
1890-06-01,-5.3160000000000025
1890-07-01,-0.6859999999999999
1890-08-01,1.7289999999999992
1890-09-01,2.3229999999999986
1890-10-01,-0.7639999999999993
1890-11-01,-0.06000000000000005
1890-12-01,-4.101
1891-01-01,-6.0440000000000005
1891-02-01,2.182
1891-03-01,-1.7380000000000004
1891-04-01,-2.282
1891-05-01,-0.6579999999999995
1891-06-01,0.5390000000000015
1891-07-01,0.8960000000000008
1891-08-01,-1.8939999999999984
1891-09-01,0.7309999999999999
1891-10-01,2.6709999999999994
1891-11-01,-0.16999999999999993
1891-12-01,7.271
1892-01-01,2.149
1892-02-01,0.857
1892-03-01,-2.292
1892-04-01,1.795
1892-05-01,-1.5990000000000002
1892-06-01,1.2019999999999982
1892-07-01,-0.5749999999999993
1892-08-01,3.1340000000000003
1892-09-01,0.2580000000000009
1892-10-01,-2.7569999999999997
1892-11-01,-1.077
1892-12-01,-3.476
1893-01-01,-6.183
1893-02-01,0.9
1893-03-01,3.3679999999999994
1893-04-01,0.8780000000000001
1893-05-01,0.23399999999999999
1893-06-01,-0.04499999999999815
1893-07-01,1.5949999999999989
1893-08-01,-1.7199999999999989
1893-09-01,-1.9849999999999994
1893-10-01,2.753
1893-11-01,0.6320000000000001
1893-12-01,2.281
1894-01-01,6.423
1894-02-01,0.5139999999999998
1894-03-01,0.7310000000000008
1894-04-01,1.8859999999999992
1894-05-01,-0.5120000000000005
1894-06-01,-1.3160000000000007
1894-07-01,0.7010000000000005
1894-08-01,-1.365000000000002
1894-09-01,-1.3870000000000005
1894-10-01,-2.4730000000000008
1894-11-01,2.559
1894-12-01,-0.277
1895-01-01,-1.776
1895-02-01,-7.667999999999999
1895-03-01,-3.2790000000000004
1895-04-01,-1.1599999999999984
1895-05-01,1.1910000000000007
1895-06-01,1.7569999999999997
1895-07-01,-0.7170000000000023
1895-08-01,1.5820000000000007
1895-09-01,4.099
1895-10-01,-0.544999999999999
1895-11-01,-0.5739999999999998
1895-12-01,-1.089
1896-01-01,2.4989999999999997
1896-02-01,5.758
1896-03-01,3.81
1896-04-01,-2.4300000000000006
1896-05-01,-1.8149999999999995
