Datum,MonatlicheDurchschnittsTemperatur
1881-01-01,8.9
1881-02-01,-3.719999999999999
1881-03-01,-3.0999999999999996
1881-04-01,2.75
1881-05-01,-2.509999999999999
1881-06-01,-1.8999999999999986
1881-07-01,0.490000000000002
1881-08-01,-0.9599999999999991
1881-09-01,2.24
1881-10-01,0.6400000000000001
1881-11-01,-7.579999999999999
1881-12-01,-4.460000000000001
1882-01-01,-0.7299999999999986
1882-02-01,7.9399999999999995
1882-03-01,3.5999999999999996
1882-04-01,-1.6199999999999999
1882-05-01,2.04
1882-06-01,-0.3200000000000003
1882-07-01,-0.5600000000000023
1882-08-01,0.7900000000000009
1882-09-01,0.14999999999999947
1882-10-01,-3.8899999999999997
1882-11-01,-1.2700000000000014
1882-12-01,-5.809999999999999
1883-01-01,-3.7600000000000016
1883-02-01,-7.200000000000001
1883-03-01,-1.0700000000000003
1883-04-01,-2.2800000000000002
1883-05-01,-3.3900000000000006
1883-06-01,-0.6600000000000001
1883-07-01,-0.3099999999999987
1883-08-01,-2.1000000000000014
1883-09-01,-0.9500000000000002
1883-10-01,5.63
1883-11-01,-1.4399999999999995
1883-12-01,12.41
1884-01-01,2.7699999999999996
1884-02-01,3.8000000000000007
1884-03-01,-7.379999999999999
1884-04-01,-0.6799999999999999
1884-05-01,5.450000000000001
1884-06-01,-0.16000000000000014
1884-07-01,1.1999999999999993
1884-08-01,0.4400000000000013
1884-09-01,1.0300000000000002
1884-10-01,-0.4600000000000001
1884-11-01,3.8499999999999996
1884-12-01,-1.2400000000000002
1885-01-01,-4.239999999999998
1885-02-01,-3.5500000000000007
1885-03-01,3.7699999999999996
1885-04-01,2.52
1885-05-01,-3.8500000000000005
1885-06-01,4.539999999999999
1885-07-01,-1.7899999999999991
1885-08-01,-0.5800000000000001
1885-09-01,0.33000000000000007
1885-10-01,-1.9100000000000001
1885-11-01,0.02000000000000135
1885-12-01,3.0999999999999996
1886-01-01,4.93
1886-02-01,-4.129999999999999
1886-03-01,-0.9700000000000006
1886-04-01,-0.12999999999999995
1886-05-01,0.7999999999999998
1886-06-01,-3.1899999999999995
1886-07-01,2.5799999999999983
1886-08-01,2.4000000000000004
1886-09-01,2.8000000000000007
1886-10-01,-1.52
1886-11-01,-2.8900000000000006
1886-12-01,0.3200000000000003
1887-01-01,-8.96
1887-02-01,8.16
1887-03-01,3.1100000000000003
1887-04-01,1.9500000000000002
1887-05-01,-0.16000000000000014
1887-06-01,0.8399999999999999
1887-07-01,0.8200000000000003
1887-08-01,-2.240000000000002
1887-09-01,-3.660000000000001
1887-10-01,3.88
1887-11-01,7.41
1887-12-01,-4.580000000000002
1888-01-01,5.199999999999999
1888-02-01,-4.800000000000001
1888-03-01,-1.0200000000000005
1888-04-01,-3.87
1888-05-01,1.2699999999999996
1888-06-01,2.450000000000001
1888-07-01,-0.7699999999999996
1888-08-01,2.620000000000001
1888-09-01,1.7199999999999998
1888-10-01,-1.6400000000000001
1888-11-01,-3.33
1888-12-01,-1.509999999999998
1889-01-01,-6.039999999999999
1889-02-01,3.629999999999999
1889-03-01,0.19000000000000128
1889-04-01,3.24
1889-05-01,-2.8199999999999994
1889-06-01,-2.120000000000001
1889-07-01,-1.8200000000000003
1889-08-01,-1.5899999999999999
1889-09-01,-1.1899999999999995
1889-10-01,-3.5700000000000003
1889-11-01,-4.470000000000001
1889-12-01,-1.6500000000000021
1890-01-01,6.600000000000001
1890-02-01,0.740000000000002
1890-03-01,-2.950000000000001
1890-04-01,-2.33
1890-05-01,-0.1800000000000006
1890-06-01,-1.8100000000000005
1890-07-01,-0.10999999999999943
1890-08-01,0.09999999999999964
1890-09-01,-1.0199999999999996
1890-10-01,6.42
1890-11-01,-0.10999999999999943
1890-12-01,2.6900000000000013
1891-01-01,-3.2300000000000004
1891-02-01,0.18999999999999773
1891-03-01,3.0500000000000007
1891-04-01,-0.75
1891-05-01,1.9299999999999997
1891-06-01,0.5700000000000003
1891-07-01,0.9800000000000004
1891-08-01,1.6500000000000004
1891-09-01,1.4900000000000002
1891-10-01,-3.26
1891-11-01,2.42
1891-12-01,1.1799999999999997
1892-01-01,0.879999999999999
1892-02-01,-6.699999999999999
1892-03-01,-7.470000000000001
1892-04-01,0.99
1892-05-01,2.3900000000000006
1892-06-01,3.2799999999999994
1892-07-01,0.7399999999999984
1892-08-01,-0.3200000000000003
1892-09-01,0.4900000000000002
1892-10-01,1.49
1892-11-01,-4.920000000000002
1892-12-01,-3.169999999999998
1893-01-01,-8.66
1893-02-01,3.7300000000000004
1893-03-01,11.65
1893-04-01,6.859999999999999
1893-05-01,-2.6899999999999995
1893-06-01,-1.0899999999999999
1893-07-01,-0.5399999999999991
1893-08-01,-0.33999999999999986
1893-09-01,0.05999999999999872
1893-10-01,0.5700000000000001
1893-11-01,11.350000000000001
1893-12-01,2.1799999999999997
1894-01-01,12.170000000000002
1894-02-01,9.02
1894-03-01,-1.4699999999999998
1894-04-01,-8.33
1894-05-01,-0.08000000000000007
1894-06-01,-2.209999999999999
1894-07-01,-0.23999999999999844
1894-08-01,-0.9600000000000009
1894-09-01,0.009999999999999787
1894-10-01,-0.77
1894-11-01,-5.59
1894-12-01,-2.6900000000000013
1895-01-01,-6.990000000000002
1895-02-01,-11.45
1895-03-01,-5.54
1895-04-01,2.42
1895-05-01,0.879999999999999
1895-06-01,-0.5700000000000003
1895-07-01,2.129999999999999
1895-08-01,0.5800000000000001
1895-09-01,1.3800000000000008
1895-10-01,-1.21
1895-11-01,2.96
1895-12-01,-0.620000000000001
