dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1752-08-01;;;Berlin;Germany;52.24N;13.14E
1752-09-01;;;Berlin;Germany;52.24N;13.14E
1752-10-01;9,294;1,578;Berlin;Germany;52.24N;13.14E
1752-11-01;5,602;1,158;Berlin;Germany;52.24N;13.14E
1752-12-01;2,053;1,388;Berlin;Germany;52.24N;13.14E
1753-01-01;-2,452;7,998;Berlin;Germany;52.24N;13.14E
1753-02-01;-0,096;3,446;Berlin;Germany;52.24N;13.14E
1753-03-01;5,574;3,496;Berlin;Germany;52.24N;13.14E
1753-04-01;9,202;7,263;Berlin;Germany;52.24N;13.14E
1753-05-01;13,435;1,914;Berlin;Germany;52.24N;13.14E
1753-06-01;17,361;3,357;Berlin;Germany;52.24N;13.14E
1753-07-01;18,598;2,248;Berlin;Germany;52.24N;13.14E
1753-08-01;17,221;7,841;Berlin;Germany;52.24N;13.14E
1753-09-01;14,729;1,445;Berlin;Germany;52.24N;13.14E
1753-10-01;9,9;1,989;Berlin;Germany;52.24N;13.14E
1753-11-01;2,95;3,281;Berlin;Germany;52.24N;13.14E
1753-12-01;-1,834;4,593;Berlin;Germany;52.24N;13.14E
1754-01-01;-1,341;2,212;Berlin;Germany;52.24N;13.14E
1754-02-01;-1,224;4,594;Berlin;Germany;52.24N;13.14E
1754-03-01;0,923;4,024;Berlin;Germany;52.24N;13.14E
1754-04-01;7,992;8,039;Berlin;Germany;52.24N;13.14E
1754-05-01;14,465;3,676;Berlin;Germany;52.24N;13.14E
1754-06-01;16,957;1,405;Berlin;Germany;52.24N;13.14E
1754-07-01;17,094;3,149;Berlin;Germany;52.24N;13.14E
1754-08-01;17,587;5,304;Berlin;Germany;52.24N;13.14E
1754-09-01;13,671;3,872;Berlin;Germany;52.24N;13.14E
1754-10-01;10,147;2,061;Berlin;Germany;52.24N;13.14E
1754-11-01;4,648;1,879;Berlin;Germany;52.24N;13.14E
1754-12-01;0,995;2,71;Berlin;Germany;52.24N;13.14E
1755-01-01;-6,032;6,072;Berlin;Germany;52.24N;13.14E
1755-02-01;-5,248;5,027;Berlin;Germany;52.24N;13.14E
1755-03-01;2,743;4,982;Berlin;Germany;52.24N;13.14E
1755-04-01;10,936;4,968;Berlin;Germany;52.24N;13.14E
1755-05-01;13,507;3,124;Berlin;Germany;52.24N;13.14E
1755-06-01;19,155;3,858;Berlin;Germany;52.24N;13.14E
1755-07-01;18,949;2,119;Berlin;Germany;52.24N;13.14E
1755-08-01;17,138;3,681;Berlin;Germany;52.24N;13.14E
1755-09-01;13,274;1,157;Berlin;Germany;52.24N;13.14E
1755-10-01;8,625;8,061;Berlin;Germany;52.24N;13.14E
1755-11-01;3,839;8,332;Berlin;Germany;52.24N;13.14E
1755-12-01;2,247;8,988;Berlin;Germany;52.24N;13.14E
1756-01-01;2,619;6,38;Berlin;Germany;52.24N;13.14E
1756-02-01;3,28;4,713;Berlin;Germany;52.24N;13.14E
1756-03-01;4,987;8,018;Berlin;Germany;52.24N;13.14E
1756-04-01;7,88;2,663;Berlin;Germany;52.24N;13.14E
1756-05-01;13,1;6,751;Berlin;Germany;52.24N;13.14E
1756-06-01;19,823;4,485;Berlin;Germany;52.24N;13.14E
1756-07-01;20,051;2,677;Berlin;Germany;52.24N;13.14E
1756-08-01;17,318;10,535;Berlin;Germany;52.24N;13.14E
1756-09-01;15,798;4,179;Berlin;Germany;52.24N;13.14E
1756-10-01;9,529;4,108;Berlin;Germany;52.24N;13.14E
1756-11-01;2,51;5,3;Berlin;Germany;52.24N;13.14E
1756-12-01;-1,397;2,658;Berlin;Germany;52.24N;13.14E
1757-01-01;-1,883;4,262;Berlin;Germany;52.24N;13.14E
1757-02-01;2,232;5,716;Berlin;Germany;52.24N;13.14E
1757-03-01;4,66;5,025;Berlin;Germany;52.24N;13.14E
1757-04-01;9,927;7,228;Berlin;Germany;52.24N;13.14E
1757-05-01;13,018;3,914;Berlin;Germany;52.24N;13.14E
1757-06-01;19,048;4,493;Berlin;Germany;52.24N;13.14E
1757-07-01;22,437;7,515;Berlin;Germany;52.24N;13.14E
1757-08-01;18,524;5,192;Berlin;Germany;52.24N;13.14E
1757-09-01;12,883;9,323;Berlin;Germany;52.24N;13.14E
1757-10-01;4,926;12,455;Berlin;Germany;52.24N;13.14E
1757-11-01;5,044;5,98;Berlin;Germany;52.24N;13.14E
1757-12-01;-0,972;11,312;Berlin;Germany;52.24N;13.14E
1758-01-01;-4,598;1,266;Berlin;Germany;52.24N;13.14E
1758-02-01;-0,086;3,815;Berlin;Germany;52.24N;13.14E
1758-03-01;3,511;5,214;Berlin;Germany;52.24N;13.14E
1758-04-01;7,276;9,234;Berlin;Germany;52.24N;13.14E
1758-05-01;14,896;6,267;Berlin;Germany;52.24N;13.14E
1758-06-01;17,84;6,159;Berlin;Germany;52.24N;13.14E
1758-07-01;17,21;9,659;Berlin;Germany;52.24N;13.14E
1758-08-01;18,374;7,723;Berlin;Germany;52.24N;13.14E
1758-09-01;12,754;3,555;Berlin;Germany;52.24N;13.14E
1758-10-01;6,977;13,17;Berlin;Germany;52.24N;13.14E
1758-11-01;3,958;10,55;Berlin;Germany;52.24N;13.14E
1758-12-01;0,898;6,814;Berlin;Germany;52.24N;13.14E
1759-01-01;2,143;7,459;Berlin;Germany;52.24N;13.14E
1759-02-01;2,702;9,077;Berlin;Germany;52.24N;13.14E
1759-03-01;4,898;3,737;Berlin;Germany;52.24N;13.14E
1759-04-01;8,22;6,9;Berlin;Germany;52.24N;13.14E
1759-05-01;11,999;3,64;Berlin;Germany;52.24N;13.14E
1759-06-01;18,355;6,991;Berlin;Germany;52.24N;13.14E
1759-07-01;20,391;5,218;Berlin;Germany;52.24N;13.14E
1759-08-01;18,784;8,01;Berlin;Germany;52.24N;13.14E
1759-09-01;14,057;7,176;Berlin;Germany;52.24N;13.14E
1759-10-01;9,592;5,442;Berlin;Germany;52.24N;13.14E
1759-11-01;1,017;7,186;Berlin;Germany;52.24N;13.14E
1759-12-01;-3,687;10,995;Berlin;Germany;52.24N;13.14E
1760-01-01;-2,831;5,388;Berlin;Germany;52.24N;13.14E
1760-02-01;-0,842;3,97;Berlin;Germany;52.24N;13.14E
1760-03-01;2,311;10,708;Berlin;Germany;52.24N;13.14E
1760-04-01;8,485;7,34;Berlin;Germany;52.24N;13.14E
1760-05-01;13,846;4,51;Berlin;Germany;52.24N;13.14E
1760-06-01;18,219;2,801;Berlin;Germany;52.24N;13.14E
1760-07-01;18,6;4,918;Berlin;Germany;52.24N;13.14E
1760-08-01;18,133;9,179;Berlin;Germany;52.24N;13.14E
1760-09-01;15,527;6,388;Berlin;Germany;52.24N;13.14E
1760-10-01;9,217;5,851;Berlin;Germany;52.24N;13.14E
1760-11-01;4,111;3,868;Berlin;Germany;52.24N;13.14E
1760-12-01;3,094;3,065;Berlin;Germany;52.24N;13.14E
1761-01-01;-0,742;8,045;Berlin;Germany;52.24N;13.14E
1761-02-01;2,429;4,307;Berlin;Germany;52.24N;13.14E
1761-03-01;6,439;1,495;Berlin;Germany;52.24N;13.14E
1761-04-01;8,18;4,62;Berlin;Germany;52.24N;13.14E
