dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1828-03-01;-8,623;2,74;Abakan;Russia;53.84N;91.36E
1828-04-01;0,636;2,522;Abakan;Russia;53.84N;91.36E
1828-05-01;8,419;2,234;Abakan;Russia;53.84N;91.36E
1828-06-01;15,792;2,406;Abakan;Russia;53.84N;91.36E
1828-07-01;18,554;2,129;Abakan;Russia;53.84N;91.36E
1828-08-01;15,126;1,809;Abakan;Russia;53.84N;91.36E
1828-09-01;6,823;1,57;Abakan;Russia;53.84N;91.36E
1828-10-01;-0,166;1,999;Abakan;Russia;53.84N;91.36E
1828-11-01;-9,111;2,328;Abakan;Russia;53.84N;91.36E
1828-12-01;-16,931;2,693;Abakan;Russia;53.84N;91.36E
1829-01-01;-21,061;2,512;Abakan;Russia;53.84N;91.36E
1829-02-01;-18,888;3,229;Abakan;Russia;53.84N;91.36E
1829-03-01;-9,389;2,319;Abakan;Russia;53.84N;91.36E
1829-04-01;-0,634;1,911;Abakan;Russia;53.84N;91.36E
1829-05-01;8,71;2,227;Abakan;Russia;53.84N;91.36E
1829-06-01;14,775;2,174;Abakan;Russia;53.84N;91.36E
1829-07-01;18,233;1,865;Abakan;Russia;53.84N;91.36E
1829-08-01;14,513;1,916;Abakan;Russia;53.84N;91.36E
1829-09-01;6,763;1,527;Abakan;Russia;53.84N;91.36E
1829-10-01;-0,125;2,253;Abakan;Russia;53.84N;91.36E
1829-11-01;-8,976;2,588;Abakan;Russia;53.84N;91.36E
1829-12-01;-17,724;3,034;Abakan;Russia;53.84N;91.36E
1830-01-01;-18,735;3,754;Abakan;Russia;53.84N;91.36E
1830-02-01;-15,5;3,444;Abakan;Russia;53.84N;91.36E
1830-03-01;-10,447;2,309;Abakan;Russia;53.84N;91.36E
1830-04-01;0,675;2,064;Abakan;Russia;53.84N;91.36E
1830-05-01;8,083;2,067;Abakan;Russia;53.84N;91.36E
1830-06-01;15,27;2,099;Abakan;Russia;53.84N;91.36E
1830-07-01;19,55;2,391;Abakan;Russia;53.84N;91.36E
1830-08-01;14,241;2,068;Abakan;Russia;53.84N;91.36E
1830-09-01;7,053;1,768;Abakan;Russia;53.84N;91.36E
1830-10-01;-2,25;1,963;Abakan;Russia;53.84N;91.36E
1830-11-01;-7,911;2,623;Abakan;Russia;53.84N;91.36E
1830-12-01;-16,068;2,9;Abakan;Russia;53.84N;91.36E
1831-01-01;-21,725;3,409;Abakan;Russia;53.84N;91.36E
1831-02-01;-21,879;5,174;Abakan;Russia;53.84N;91.36E
1831-03-01;-11,648;2,717;Abakan;Russia;53.84N;91.36E
1831-04-01;-0,409;1,89;Abakan;Russia;53.84N;91.36E
1831-05-01;8,639;2,191;Abakan;Russia;53.84N;91.36E
1831-06-01;15,864;2,102;Abakan;Russia;53.84N;91.36E
1831-07-01;17,561;1,875;Abakan;Russia;53.84N;91.36E
1831-08-01;13,849;1,714;Abakan;Russia;53.84N;91.36E
1831-09-01;6,182;1,658;Abakan;Russia;53.84N;91.36E
1831-10-01;-2,335;2,455;Abakan;Russia;53.84N;91.36E
1831-11-01;-12,075;2,333;Abakan;Russia;53.84N;91.36E
1831-12-01;-18,4;2,677;Abakan;Russia;53.84N;91.36E
1832-01-01;-23,619;3,227;Abakan;Russia;53.84N;91.36E
1832-02-01;-19,507;2,436;Abakan;Russia;53.84N;91.36E
1832-03-01;-9,794;2,375;Abakan;Russia;53.84N;91.36E
1832-04-01;0,475;2,439;Abakan;Russia;53.84N;91.36E
1832-05-01;8,082;2,1;Abakan;Russia;53.84N;91.36E
1832-06-01;15,069;2,187;Abakan;Russia;53.84N;91.36E
1832-07-01;18,623;2,855;Abakan;Russia;53.84N;91.36E
1832-08-01;14,104;2,095;Abakan;Russia;53.84N;91.36E
1832-09-01;6,817;1,772;Abakan;Russia;53.84N;91.36E
1832-10-01;-0,196;2,324;Abakan;Russia;53.84N;91.36E
1832-11-01;-10,38;2,252;Abakan;Russia;53.84N;91.36E
1832-12-01;-21,002;2,415;Abakan;Russia;53.84N;91.36E
1833-01-01;-21,956;3,286;Abakan;Russia;53.84N;91.36E
1833-02-01;-18,837;2,506;Abakan;Russia;53.84N;91.36E
1833-03-01;-11,813;2,856;Abakan;Russia;53.84N;91.36E
1833-04-01;-1,218;1,934;Abakan;Russia;53.84N;91.36E
1833-05-01;9,039;1,554;Abakan;Russia;53.84N;91.36E
1833-06-01;14,184;1,806;Abakan;Russia;53.84N;91.36E
1833-07-01;18,347;2,416;Abakan;Russia;53.84N;91.36E
1833-08-01;14,633;1,558;Abakan;Russia;53.84N;91.36E
1833-09-01;7,491;1,465;Abakan;Russia;53.84N;91.36E
1833-10-01;-1,31;1,881;Abakan;Russia;53.84N;91.36E
1833-11-01;-8,854;2,693;Abakan;Russia;53.84N;91.36E
1833-12-01;-18,312;3,565;Abakan;Russia;53.84N;91.36E
1834-01-01;-25,061;3,725;Abakan;Russia;53.84N;91.36E
1834-02-01;-18,763;2,695;Abakan;Russia;53.84N;91.36E
1834-03-01;-7,099;2,315;Abakan;Russia;53.84N;91.36E
1834-04-01;0,152;3,019;Abakan;Russia;53.84N;91.36E
1834-05-01;9,448;1,669;Abakan;Russia;53.84N;91.36E
1834-06-01;15,214;1,619;Abakan;Russia;53.84N;91.36E
1834-07-01;18,426;1,676;Abakan;Russia;53.84N;91.36E
1834-08-01;14,133;1,665;Abakan;Russia;53.84N;91.36E
1834-09-01;8,814;1,5;Abakan;Russia;53.84N;91.36E
