dt;AverageTemperature;AverageTemperatureUncertainty;City;Country;Latitude;Longitude
1752-04-01;5,891;1,874;Bern;Switzerland;47.42N;8.29E
1752-05-01;;;Bern;Switzerland;47.42N;8.29E
1752-06-01;;;Bern;Switzerland;47.42N;8.29E
1752-07-01;;;Bern;Switzerland;47.42N;8.29E
1752-08-01;;;Bern;Switzerland;47.42N;8.29E
1752-09-01;;;Bern;Switzerland;47.42N;8.29E
1752-10-01;6,712;1,645;Bern;Switzerland;47.42N;8.29E
1752-11-01;3,461;1,556;Bern;Switzerland;47.42N;8.29E
1752-12-01;0,269;1,755;Bern;Switzerland;47.42N;8.29E
1753-01-01;-5,088;7,985;Bern;Switzerland;47.42N;8.29E
1753-02-01;-1,496;3,99;Bern;Switzerland;47.42N;8.29E
1753-03-01;3,66;3,246;Bern;Switzerland;47.42N;8.29E
1753-04-01;6,255;7,599;Bern;Switzerland;47.42N;8.29E
1753-05-01;11,033;1,877;Bern;Switzerland;47.42N;8.29E
1753-06-01;16,333;2,63;Bern;Switzerland;47.42N;8.29E
1753-07-01;16,952;1,807;Bern;Switzerland;47.42N;8.29E
1753-08-01;14,442;7,105;Bern;Switzerland;47.42N;8.29E
1753-09-01;12,501;1,43;Bern;Switzerland;47.42N;8.29E
1753-10-01;7,435;1,41;Bern;Switzerland;47.42N;8.29E
1753-11-01;0,856;2,811;Bern;Switzerland;47.42N;8.29E
1753-12-01;-0,905;4,577;Bern;Switzerland;47.42N;8.29E
1754-01-01;-3,375;3,183;Bern;Switzerland;47.42N;8.29E
1754-02-01;-3,461;5,471;Bern;Switzerland;47.42N;8.29E
1754-03-01;-1,109;4,211;Bern;Switzerland;47.42N;8.29E
1754-04-01;5,57;8,129;Bern;Switzerland;47.42N;8.29E
1754-05-01;11,733;3,654;Bern;Switzerland;47.42N;8.29E
1754-06-01;14,738;1,522;Bern;Switzerland;47.42N;8.29E
1754-07-01;15,101;2,94;Bern;Switzerland;47.42N;8.29E
1754-08-01;16,081;4,843;Bern;Switzerland;47.42N;8.29E
1754-09-01;12,086;3,48;Bern;Switzerland;47.42N;8.29E
1754-10-01;8,511;2,346;Bern;Switzerland;47.42N;8.29E
1754-11-01;3,619;1,879;Bern;Switzerland;47.42N;8.29E
1754-12-01;-0,93;2,505;Bern;Switzerland;47.42N;8.29E
1755-01-01;-7,619;6,366;Bern;Switzerland;47.42N;8.29E
1755-02-01;-4,973;5,082;Bern;Switzerland;47.42N;8.29E
1755-03-01;1,517;4,956;Bern;Switzerland;47.42N;8.29E
1755-04-01;10,166;5,12;Bern;Switzerland;47.42N;8.29E
1755-05-01;10,603;3,55;Bern;Switzerland;47.42N;8.29E
1755-06-01;16,713;4,205;Bern;Switzerland;47.42N;8.29E
1755-07-01;15,75;1,806;Bern;Switzerland;47.42N;8.29E
1755-08-01;13,839;3,371;Bern;Switzerland;47.42N;8.29E
1755-09-01;11,095;1,306;Bern;Switzerland;47.42N;8.29E
1755-10-01;6,221;7,946;Bern;Switzerland;47.42N;8.29E
1755-11-01;2,197;7,925;Bern;Switzerland;47.42N;8.29E
1755-12-01;-0,996;8,981;Bern;Switzerland;47.42N;8.29E
1756-01-01;-0,345;5,251;Bern;Switzerland;47.42N;8.29E
1756-02-01;0,211;4,85;Bern;Switzerland;47.42N;8.29E
1756-03-01;2,317;8,109;Bern;Switzerland;47.42N;8.29E
1756-04-01;4,952;2,866;Bern;Switzerland;47.42N;8.29E
1756-05-01;10,098;6,437;Bern;Switzerland;47.42N;8.29E
1756-06-01;16,132;3,558;Bern;Switzerland;47.42N;8.29E
1756-07-01;16,009;2,458;Bern;Switzerland;47.42N;8.29E
1756-08-01;14,693;9,856;Bern;Switzerland;47.42N;8.29E
1756-09-01;12,965;3,459;Bern;Switzerland;47.42N;8.29E
1756-10-01;6,196;3,22;Bern;Switzerland;47.42N;8.29E
1756-11-01;-0,245;4,501;Bern;Switzerland;47.42N;8.29E
1756-12-01;-3,727;3,365;Bern;Switzerland;47.42N;8.29E
1757-01-01;-4,884;2,237;Bern;Switzerland;47.42N;8.29E
1757-02-01;-1,718;4,801;Bern;Switzerland;47.42N;8.29E
1757-03-01;1,545;4,675;Bern;Switzerland;47.42N;8.29E
1757-04-01;6,587;6,723;Bern;Switzerland;47.42N;8.29E
1757-05-01;11,383;4,109;Bern;Switzerland;47.42N;8.29E
1757-06-01;15,684;4,542;Bern;Switzerland;47.42N;8.29E
1757-07-01;18,58;7,351;Bern;Switzerland;47.42N;8.29E
1757-08-01;15,524;5,666;Bern;Switzerland;47.42N;8.29E
1757-09-01;10,341;8,94;Bern;Switzerland;47.42N;8.29E
1757-10-01;3,192;11,86;Bern;Switzerland;47.42N;8.29E
1757-11-01;2,07;5,002;Bern;Switzerland;47.42N;8.29E
1757-12-01;-2,763;11,259;Bern;Switzerland;47.42N;8.29E
1758-01-01;-6,137;2,953;Bern;Switzerland;47.42N;8.29E
1758-02-01;-1,812;3,454;Bern;Switzerland;47.42N;8.29E
1758-03-01;2,591;5,1;Bern;Switzerland;47.42N;8.29E
1758-04-01;5,158;9,342;Bern;Switzerland;47.42N;8.29E
1758-05-01;11,89;6,331;Bern;Switzerland;47.42N;8.29E
1758-06-01;15,306;5,861;Bern;Switzerland;47.42N;8.29E
1758-07-01;13,203;8,973;Bern;Switzerland;47.42N;8.29E
1758-08-01;14,867;7,534;Bern;Switzerland;47.42N;8.29E
1758-09-01;10,023;3,469;Bern;Switzerland;47.42N;8.29E
1758-10-01;5,037;12,81;Bern;Switzerland;47.42N;8.29E
1758-11-01;1,645;9,337;Bern;Switzerland;47.42N;8.29E
1758-12-01;-0,774;6,578;Bern;Switzerland;47.42N;8.29E
1759-01-01;-0,861;6,987;Bern;Switzerland;47.42N;8.29E
1759-02-01;0,129;9,076;Bern;Switzerland;47.42N;8.29E
1759-03-01;2,406;3,855;Bern;Switzerland;47.42N;8.29E
1759-04-01;6,663;6,839;Bern;Switzerland;47.42N;8.29E
1759-05-01;10,99;3,615;Bern;Switzerland;47.42N;8.29E
1759-06-01;14,372;6,535;Bern;Switzerland;47.42N;8.29E
1759-07-01;18,192;5,042;Bern;Switzerland;47.42N;8.29E
1759-08-01;15,462;7,781;Bern;Switzerland;47.42N;8.29E
1759-09-01;12,82;6,902;Bern;Switzerland;47.42N;8.29E
1759-10-01;8,553;5,176;Bern;Switzerland;47.42N;8.29E
1759-11-01;-1,053;6,938;Bern;Switzerland;47.42N;8.29E
1759-12-01;-2,907;9,219;Bern;Switzerland;47.42N;8.29E
1760-01-01;-2,849;4,918;Bern;Switzerland;47.42N;8.29E
1760-02-01;-1,725;3,172;Bern;Switzerland;47.42N;8.29E
1760-03-01;0,859;10,318;Bern;Switzerland;47.42N;8.29E
1760-04-01;8,391;7,182;Bern;Switzerland;47.42N;8.29E
1760-05-01;11,472;4,509;Bern;Switzerland;47.42N;8.29E
1760-06-01;14,989;2,853;Bern;Switzerland;47.42N;8.29E
1760-07-01;16,59;4,559;Bern;Switzerland;47.42N;8.29E
1760-08-01;15,143;8,451;Bern;Switzerland;47.42N;8.29E
1760-09-01;12,986;5,953;Bern;Switzerland;47.42N;8.29E
1760-10-01;7,541;5,484;Bern;Switzerland;47.42N;8.29E
1760-11-01;2,355;3,321;Bern;Switzerland;47.42N;8.29E
1760-12-01;1,483;3,321;Bern;Switzerland;47.42N;8.29E
1761-01-01;-4,046;7,749;Bern;Switzerland;47.42N;8.29E
1761-02-01;0,969;4,072;Bern;Switzerland;47.42N;8.29E
1761-03-01;4,13;1,737;Bern;Switzerland;47.42N;8.29E
1761-04-01;5,817;4,839;Bern;Switzerland;47.42N;8.29E
1761-05-01;12,49;5,663;Bern;Switzerland;47.42N;8.29E
1761-06-01;15,118;2,398;Bern;Switzerland;47.42N;8.29E
1761-07-01;16,648;7,037;Bern;Switzerland;47.42N;8.29E
1761-08-01;16,576;3,377;Bern;Switzerland;47.42N;8.29E
1761-09-01;13,423;4,199;Bern;Switzerland;47.42N;8.29E
1761-10-01;5,807;5,37;Bern;Switzerland;47.42N;8.29E
1761-11-01;1,418;2,251;Bern;Switzerland;47.42N;8.29E
1761-12-01;-4,033;2,664;Bern;Switzerland;47.42N;8.29E
1762-01-01;-0,644;2,347;Bern;Switzerland;47.42N;8.29E
1762-02-01;-1,443;9,372;Bern;Switzerland;47.42N;8.29E
1762-03-01;-0,714;5,545;Bern;Switzerland;47.42N;8.29E
1762-04-01;9,015;4,206;Bern;Switzerland;47.42N;8.29E
1762-05-01;12,699;7,244;Bern;Switzerland;47.42N;8.29E
1762-06-01;14,779;7,378;Bern;Switzerland;47.42N;8.29E
1762-07-01;17,848;3,07;Bern;Switzerland;47.42N;8.29E
1762-08-01;14,739;3,254;Bern;Switzerland;47.42N;8.29E
1762-09-01;11,945;9,312;Bern;Switzerland;47.42N;8.29E
1762-10-01;5,518;4,499;Bern;Switzerland;47.42N;8.29E
1762-11-01;1,09;2,21;Bern;Switzerland;47.42N;8.29E
1762-12-01;-5,17;7,57;Bern;Switzerland;47.42N;8.29E
1763-01-01;-6,184;6,82;Bern;Switzerland;47.42N;8.29E
1763-02-01;1,809;5,054;Bern;Switzerland;47.42N;8.29E
