Prognose_Differenziert,Unteres_PI_Differenziert,Oberes_PI_Differenziert,Datum,Absolute_Prognose,Absolutes_Unteres_PI,Absolutes_Oberes_PI
0.3467041499465362,-3.314678240035204,4.008086539928276,2013-09-01,15.511704149946535,11.850321759964796,19.173086539928274
0.7985920032524854,-2.9706432236446805,4.567827230149651,2013-10-01,10.283592003252485,6.514356776355319,14.05282723014965
-0.44592423668800857,-4.222322864342555,3.3304743909665375,2013-11-01,5.339075763311992,1.5626771356574451,9.115474390966538
0.8702406357491553,-2.9068734997205437,4.647354771218854,2013-12-01,1.8692406357491553,-1.9078734997205435,5.646354771218854
0.4811275067397998,-3.296149850055996,4.2584048635355956,2014-01-01,0.5941275067397999,-3.183149850055996,4.371404863535596
1.2743405407732233,-2.502977710624041,5.051658792170488,2014-02-01,1.5883405407732234,-2.188977710624041,5.365658792170488
5.491686176841601,1.7142877617198407,9.269084591963363,2014-03-01,5.100686176841601,1.3232877617198406,8.878084591963363
0.3529972926624875,-3.424473657695883,4.130468243020858,2014-04-01,9.440997292662487,5.663526342304117,13.218468243020858
0.45255064610241946,-3.3249900770637666,4.230091369268606,2014-05-01,14.59155064610242,10.814009922936233,18.369091369268606
0.2839330155377447,-3.4936768084617715,4.061542839537261,2014-06-01,17.756933015537744,13.979323191538228,21.53454283953726
