Prognose_Differenziert,Unteres_PI_Differenziert,Oberes_PI_Differenziert,Datum,Absolute_Prognose,Absolutes_Unteres_PI,Absolutes_Oberes_PI
0.5608205735771886,-2.6871586699139582,3.8087998170683353,2013-09-01,13.27482057357719,10.026841330086043,16.522799817068336
0.2227480306341141,-3.063992390496871,3.5094884517650993,2013-10-01,8.249748030634114,4.963007609503128,11.536488451765099
-0.9406570495613816,-4.229176964489873,2.3478628653671096,2013-11-01,3.3943429504386184,0.10582303551012728,6.68286286536711
-0.19953636846873207,-3.488454384653465,3.0893816477160008,2013-12-01,-0.005536368468732067,-3.294454384653465,3.2833816477160007
-0.24047083482493126,-3.529668891922597,3.048727222272735,2014-01-01,-1.0374708348249313,-4.326668891922597,2.2517272222727347
3.032445537305224,-0.2569650170534419,6.321856091663889,2014-02-01,0.18744553730522373,-3.101965017053442,3.476856091663889
2.747498775827237,-0.5421774592754414,6.037175010929915,2014-03-01,3.679498775827237,0.3898225407245587,6.9691750109299155
0.12932790604752,-3.1606104019064705,3.4192662140015107,2014-04-01,7.229327906047519,3.939389598093529,10.51926621400151
2.4961406038174414,-0.7940587607920633,5.786339968426946,2014-05-01,11.896140603817441,8.605941239207937,15.186339968426946
0.6377649585705972,-2.6526950424111204,3.928224959552315,2014-06-01,15.081764958570599,11.791304957588881,18.372224959552316
