Prognose_Differenziert,Unteres_PI_Differenziert,Oberes_PI_Differenziert,Datum,Absolute_Prognose,Absolutes_Unteres_PI,Absolutes_Oberes_PI
-1.380642322610776,-6.312137423538173,3.550852778316621,2013-09-01,9.417357677389225,4.485862576461827,14.34885277831662
0.36462428989286777,-4.655555997773021,5.384804577558757,2013-10-01,1.3426242898928678,-3.6775559977730214,6.362804577558757
-0.20237519045582394,-5.225370065428599,4.820619684516952,2013-11-01,-8.188375190455824,-13.2113700654286,-3.1653803154830475
6.16350892185637,1.1404216032451915,11.186596240467548,2013-12-01,-16.82549107814363,-21.84857839675481,-11.802403759532453
-0.14731783156477332,-5.17040817128008,4.875772508150533,2014-01-01,-20.071317831564773,-25.09440817128008,-15.048227491849467
0.42995560860718807,-4.593134829763042,5.453046046977419,2014-02-01,-17.216044391392813,-22.239134829763042,-12.192953953022581
-1.6290756023544355,-6.652165959292619,3.3940147545837474,2014-03-01,-7.518075602354436,-12.54116595929262,-2.494985245416253
-1.0109978310568275,-6.034088186351652,4.012092524237997,2014-04-01,2.7020021689431726,-2.321088186351652,7.725092524237997
1.639472858648398,-3.383617496586388,6.6625632138831845,2014-05-01,10.340472858648399,5.317382503413612,15.363563213883186
1.5089093603180865,-3.5141809949147795,6.531999715550953,2014-06-01,16.412909360318086,11.38981900508522,21.435999715550953
