Prognose_Differenziert,Unteres_PI_Differenziert,Oberes_PI_Differenziert,Datum,Absolute_Prognose,Absolutes_Unteres_PI,Absolutes_Oberes_PI
-0.4711873577045807,-1.3103457848286586,0.36797106941949714,2013-09-01,26.997812642295422,26.158654215171342,27.836971069419498
0.4228975782658538,-0.5933314770204314,1.4391266335521389,2013-10-01,26.928710220561275,25.91248116527499,27.94493927584756
-0.7870847409012285,-1.803943527451,0.2297740456485431,2013-11-01,26.38543812195547,25.3685793354057,27.402296908505242
-0.3383796240638435,-1.3612380216774689,0.6844787735497819,2013-12-01,25.97795607615748,24.955097678543854,27.000814473771104
0.9440758881600031,-0.07961061364086275,1.967762389960869,2014-01-01,26.37875986571168,25.35507336391081,27.402446367512542
-0.5430663634293748,-1.5672585414255975,0.4811258145668481,2014-02-01,25.42821145648431,24.404019278488086,26.452403634480532
0.24716285507989766,-0.7771755062640027,1.271501216423798,2014-03-01,26.07617810111841,25.05183973977451,27.10051646246231
-0.5061617114017908,-1.530559624255769,0.5182362014521874,2014-04-01,24.61946798048925,23.595070067635273,25.64386589334323
0.40202137510912234,-0.6223970952673086,1.4264398454855534,2014-05-01,25.669456000232476,24.645037529856044,26.693874470608908
-0.08436871465885637,-1.108794859285636,0.9400574299679234,2014-06-01,24.12837716494446,23.10395102031768,25.15280330957124
