Prognose_Differenziert,Untere_KI_Differenziert,Obere_KI_Differenziert,Datum,Absolute_Prognose,Absolute_Untere_KI,Absolute_Obere_KI
-0.4711821277183849,-1.3103484847015445,0.36798422926477464,2013-09-01,26.997817872281615,26.158651515298455,27.836984229264775
0.42289521994016044,-0.5933452486233753,1.439135688503696,2013-10-01,26.92871309222178,25.912472623658246,27.94495356078532
-0.7870879411565794,-1.8039582867181296,0.22978240440497077,2013-11-01,26.38544302334682,25.36857267778527,27.40231336890837
-0.33837694035225185,-1.3612467413228584,0.6844928606183547,2013-12-01,25.977961302934734,24.955091501964127,27.00083110390534
0.9440736064609495,-0.07962428346060102,1.9677714963825,2014-01-01,26.378764840520724,25.355066950599173,27.402462730442274
-0.5430688692450838,-1.5672723973960485,0.4811346589058809,2014-02-01,25.428214250863558,24.40401072271259,26.45241777901452
0.247165961030371,-0.7771837365319109,1.2715156585926528,2014-03-01,26.076183749479917,25.051834051917634,27.100533447042196
-0.5061584668266834,-1.5305677079717557,0.5182507743183888,2014-04-01,24.619474692996064,23.595065451850992,25.643883934141137
0.4020266363161495,-0.6224031590286043,1.4264564316609034,2014-05-01,25.669470827928574,24.64504103258382,26.693900623273326
-0.08437121955937829,-1.1088086876593235,0.940066248540567,2014-06-01,24.128390551885346,23.103953083785402,25.152828019985293
